ds,y
2016-07-13,2.77
2016-08-20,4.77
2016-09-20,3.08
2016-07-22,4.06
2016-08-28,4.73
2017-05-17,3.88
2016-09-06,3.98
2016-09-22,2.93
2016-07-27,5.04
2017-05-25,4.19
2016-09-14,3.13
2017-05-07,3.69
2016-07-25,2.65
2016-11-16,3.21
2016-11-08,5.43
2017-06-05,4.34
2017-02-11,3.56
2016-06-21,9.26
2016-07-23,3.85
2017-05-10,3.78
2016-08-21,4.8
2017-04-27,3.64
2016-07-20,4.26
2017-03-16,3.49
2016-12-07,3.42
2017-05-18,3.97
2016-09-23,3.23
2017-04-04,2.98
2016-08-04,5.01
2017-01-15,3.28
2016-07-11,2.82
2016-10-19,3.08
2016-11-02,3.01
2017-01-20,3.48
2016-11-09,5.88
2017-02-21,3.53
2016-11-20,3.13
2017-02-26,3.69
2017-04-20,3.63
2017-05-14,3.84
2016-08-23,4.8
2016-12-27,3.04
2017-02-03,3.4
2016-11-25,3.48
2016-12-01,3.27
2017-04-26,3.63
2016-09-18,3.17
2017-01-27,3.44
2017-04-22,3.62
2016-10-27,3.07
2016-11-18,3.08
2016-11-27,3.19
2016-08-13,4.74
2016-07-12,2.9
2017-05-11,3.74
2016-11-13,3.18
2017-06-07,4.28
2016-11-19,3.07
2017-06-04,4.04
2016-08-01,5.01
2016-10-21,2.88
2016-08-25,4.74
2016-11-04,3.13
2016-07-17,3.09
2016-09-24,3.17
2016-12-03,3.44
2016-10-11,3.1
2016-11-05,3.17
2016-10-05,3
2017-03-22,2.92
2017-02-22,3.63
2016-07-29,4.93
2016-06-12,38.23
2016-12-04,3.41
2016-07-16,3.71
2016-09-05,3.85
2016-12-16,3.32
2017-01-25,3.54
2016-11-17,3.1
2016-12-05,3.45
2017-02-15,3.41
2016-10-18,3.04
2017-01-12,3.3
2016-10-23,3.04
2017-02-13,3.49
2017-04-23,3.73
2017-01-09,3.04
2016-09-30,3.26
2017-06-06,4.17
2017-04-18,3.76
2016-07-01,2.29
2017-05-03,3.8
2017-02-01,3.41
2017-04-05,2.97
2017-02-09,3.32
2016-12-02,3.48
2016-10-07,3.08
2017-03-28,3.17
2017-02-18,3.41
2016-08-16,4.57
2016-09-08,3.57
2016-09-07,3.73
2016-08-02,4.96
2016-08-26,4.75
2016-07-06,2.89
2017-01-26,3.5
2017-01-17,3.31
2016-08-07,4.92
2016-11-10,5.81
2017-05-30,3.84
2017-02-25,3.84
2016-11-26,3.24
2016-08-15,4.55
2017-01-24,3.57
2017-05-13,3.8
2016-11-15,3.17
2016-07-30,4.87
2016-06-19,9.36
2017-02-02,3.44
2016-12-17,3.38
2016-08-09,5.36
2017-03-03,3.75
2016-08-11,5.33
2016-10-14,3.16
2016-07-24,3.95
2016-09-21,3.09
2017-05-06,3.59
2016-09-19,3.14
2017-03-08,3.45
2016-09-01,4.34
2017-01-06,3.02
2017-05-27,4.07
2017-03-06,3.5
2017-06-03,4.27
2017-02-08,3.36
2017-03-04,3.83
2016-10-25,2.93
2017-01-08,3.04
2016-09-09,3.22
2016-08-29,4.74
2016-11-14,3.16
2016-10-26,3
2017-02-06,3.34
2016-07-18,3.47
2017-03-10,3.55
2016-08-17,5.03
2017-01-13,3.23
2016-10-10,3.14
2016-07-08,3.18
2016-07-14,2.11
2017-05-29,4.14
2016-06-18,26.78
2017-05-04,3.69
2017-05-02,3.64
2017-04-15,3.64
2016-09-26,3.21
2016-07-02,3.18
2016-12-19,3.29
2017-05-20,3.97
2016-11-01,3.01
2017-04-21,3.68
2017-04-14,3.57
2017-01-16,3.29
2016-07-31,4.84
2016-12-08,3.37
2017-04-30,3.61
2017-04-13,3.54
2017-04-17,3.67
2016-11-30,3.1
2017-03-20,3.46
2016-11-11,4.55
2016-10-06,3.25
2016-07-21,4.21
2016-12-21,3.23
2016-07-19,3.99
2016-12-06,3.41
2017-03-17,3.47
2017-04-28,3.48
2017-02-14,3.49
2017-01-07,3.13
2017-06-08,4.23
2016-10-30,2.99
2016-11-03,2.99
2016-10-31,3.04
2017-05-05,3.8
2017-05-24,4.04
2017-03-19,3.22
2016-11-29,3.12
2017-02-07,3.34
2017-02-05,3.34
2017-02-23,3.78
2017-04-29,3.61
2016-12-10,3.38
2016-11-28,3.18
2017-03-23,2.91
2017-02-19,3.4
2017-04-01,2.88
2017-03-21,3.48
2017-04-19,3.82
2016-12-25,3.01
2017-05-15,3.83
2017-05-09,3.74
2017-03-30,2.98
2017-05-19,3.83
2016-09-27,3.28
2017-02-16,3.35
2017-01-29,3.3
2017-03-31,2.84
2017-03-29,2.98
2017-03-25,2.94
2017-04-02,2.92
