ds,y
2017-06-08,934
2016-10-30,1149
2016-11-03,1499
2016-10-31,1643
2017-05-05,685
2017-05-24,462
2017-03-19,589
2016-11-29,1462
2017-02-07,739
2017-02-05,737
2017-02-23,228
2017-04-29,778
2016-12-10,1271
2016-11-28,1368
2017-03-23,173
2017-02-19,848
2017-04-01,174
2017-03-21,257
2017-04-19,613
2016-12-25,1851
2017-05-15,828
2017-05-09,690
2017-03-30,166
2017-05-19,749
2016-09-27,449
2017-02-16,810
2017-01-29,700
2017-03-31,168
2017-03-29,169
2017-03-25,164
2017-04-02,171
