ds,y
2017-04-05,4114
2017-02-09,15889
2016-12-02,45771
2016-10-07,23575
2017-03-28,3488
2017-02-18,15227
2016-08-16,178102
2016-09-08,90372
2016-09-07,93500
2016-08-02,508056
2016-08-26,149267
2016-07-06,61980
2017-01-26,15011
2017-01-17,31914
2016-08-07,599946
2016-11-10,57110
2017-05-30,16333
2017-02-25,6536
2016-11-26,41763
2016-08-15,123145
2017-01-24,16067
2017-05-13,25084
2016-11-15,50471
2016-07-30,273641
2016-06-19,4736
2017-02-02,15828
2016-12-17,59075
2016-08-09,414526
2017-03-03,5854
2016-08-11,418674
2016-10-14,24618
2016-07-24,144106
2016-09-21,63712
2017-05-06,21573
2016-09-19,62259
2017-03-08,21537
2016-09-01,61468
2017-01-06,98952
2017-05-27,14129
2017-03-06,20451
2017-06-03,50484
2017-02-08,15741
2017-03-04,6738
2016-10-25,34244
2017-01-08,85452
2016-09-09,100022
2016-08-29,177364
2016-11-14,50494
2016-10-26,32591
2017-02-06,17939
2016-07-18,325605
2017-03-10,21122
2016-08-17,390833
2017-01-13,34183
2016-10-10,22880
2016-07-08,133064
2016-07-14,301180
2017-05-29,16590
2016-06-18,3962
2017-05-04,23179
2017-05-02,25756
2017-04-15,17834
2016-09-26,20842
2016-07-02,36935
2016-12-19,71199
2017-05-20,22225
2016-11-01,39663
2017-04-21,20695
2017-04-14,19273
2017-01-16,32701
2016-07-31,226487
2016-12-08,57570
2017-04-30,19958
2017-04-13,19596
2017-04-17,19896
2016-11-30,54767
2017-03-20,20110
2016-11-11,51240
2016-10-06,18388
2016-07-21,335458
2016-12-21,84003
2016-07-19,252272
2016-12-06,51994
2017-03-17,21691
2017-04-28,19652
2017-02-14,14311
2017-01-07,111279
2017-06-08,39425
2016-10-30,28993
2016-11-03,44638
2016-10-31,40149
2017-05-05,23892
2017-05-24,17191
2017-03-19,13673
2016-11-29,63799
2017-02-07,17280
2017-02-05,17100
2017-02-23,5328
2017-04-29,19381
2016-12-10,53030
2016-11-28,64121
2017-03-23,3608
2017-02-19,14015
2017-04-01,4227
2017-03-21,6904
2017-04-19,18584
2016-12-25,100690
2017-05-15,26829
2017-05-09,22129
2017-03-30,3325
2017-05-19,25584
2016-09-27,23865
2017-02-16,15888
2017-01-29,15211
2017-03-31,3886
2017-03-29,3480
2017-03-25,3781
2017-04-02,4675
